MJD,PC1,PC2,PC3,dataset
49994.067,2.530596719443734,0.07963326358920673,-0.5432238318767831,AFB
49995.243,2.7107289048191388,0.06913359375797086,-0.40267859710472415,AFB
50006.129,3.3533190305611043,-1.0512385509281346,-0.548738897348795,AFB
50006.96,3.3799307348177043,-1.1686753449820573,-0.47932689106498905,AFB
50007.038,3.385417543939439,-1.1795822284271893,-0.47500679624974274,AFB
50029.19,3.115429284405255,-1.5623618363334892,-0.2593574561114742,AFB
50029.994,3.127596780186537,-1.6051830173334616,-0.3115413304029742,AFB
50030.945,3.093306499695926,-1.5742013597652997,-0.41292945939214737,AFB
50032.07,3.099900783863678,-1.5297152053156566,-0.5522663774525125,AFB
50032.875,3.05860842622058,-1.484841038066005,-0.5777980459367884,AFB
50033.966,3.013768527990858,-1.4557876706892048,-0.5813338745522505,AFB
50034.328,2.9923226531018523,-1.4404172681833947,-0.5307761865560501,AFB
50035.982,2.9133060392763817,-1.5007677103845944,-0.8997100420253608,AFB
50036.375,2.8928040542114046,-1.505062632305873,-0.9702590552977662,AFB
50058.155,1.7422174755469437,-2.1781070069981974,0.3116209299108126,AFB
50084.995,0.04931952826764182,-0.26831168383862125,-1.0846847503243418,AFB
50086.098,0.017701405604224875,-0.12689254031955924,-1.21255894981871,AFB
50086.954,-0.07752741807742063,-0.07966266966009215,-1.2783268997264727,AFB
50087.995,-0.10351449096745802,0.04197632385797197,-1.5566302475709342,AFB
50088.833,-0.014577781549419036,0.027827346090408378,-1.8737587429029778,AFB
50089.845,0.03506561936402705,0.16330596915865958,-2.2587218402044478,AFB
50109.825,-0.3960445366474388,0.3794123516254481,-0.7173963885461837,AFB
50115.862,-0.553629976602803,0.6280563203045226,-1.55379988583307,AFB
50119.732,-0.6753110151493826,0.82393500717247,-2.0466000394818145,AFB
50120.943,-0.7354089717194904,0.7924440613192504,-1.9106553004506808,AFB
50135.751,-0.5545496362564901,0.2993468627966112,-2.4828819430716846,AFB
50136.902,-0.5837262524249877,0.29448125417425586,-2.441215865811869,AFB
50137.921,-0.4727194624308473,0.3228514854587249,-2.2941623334582246,AFB
50138.731,-0.4290989835757994,0.26652840557745894,-2.2741255406018897,AFB
50185.795,-0.5776759277582142,-0.2727656766095849,-0.5792577485270793,AFB
50206.726,-0.40965015922726156,-0.8545385098157936,-0.34903191080449836,AFB
50240.808,-0.430699238613197,-0.7225355173304384,-1.446079563443315,AFB
50245.691,-0.7997388053341394,-0.5636584967483707,-1.640855328501707,AFB
50260.712,-0.893034918219246,-0.3021811057667019,0.24398194636830228,AFB
50264.543,-1.0221110999483642,-0.3880297701306813,1.0347390060901156,AFB
50268.747,-0.7634398624891305,-0.8822867788733717,0.9629489520803675,AFB
50293.234,-1.2107619708132416,-1.6386232723278655,-0.823162598814253,AFB
50298.309,-1.0838428035122736,-1.6148428540016158,-0.3628701283355535,AFB
50332.126,0.8725211948418059,-1.5125267749876359,-0.6026235347841696,AFB
50338.391,0.6398510274147127,-1.5062046257819415,-0.22881605771428318,AFB
50342.074,0.5069636980265156,-1.3132373888587445,-0.6018992300822892,AFB
50344.216,0.35381089518409437,-1.3716510162069182,-0.6682619093484273,AFB
50348.241,-0.4299627807177172,-1.014739201939664,-0.14760528185517396,AFB
50350.341,-0.8054925758909405,-0.8326213041261257,0.1561902712250611,AFB
50355.226,-1.406860210400856,-0.7269395455099046,-0.3646850863354265,AFB
50381.192,-1.0611593124192746,-2.034754104632509,0.350448158831842,AFB
50386.219,-1.153071832216317,-1.28173114403174,0.0787025842431947,AFB
50387.392,-1.0250317468141543,-1.0812571791693508,0.03304541886559826,AFB
50389.054,-0.9215004805503731,-0.6679978719151203,-0.031270525458306095,AFB
50391.078,-0.6869852307292575,-0.3555561183980281,-0.17723969259246916,AFB
50394.032,-0.40774244981125835,0.06190095972274747,-0.432715019423197,AFB
50396.09,-0.5065105610013717,-0.23655119284170154,-0.7745296736805927,AFB
50398.117,-0.6342358931276701,-0.4842843826192432,-0.8605089910433925,AFB
50400.071,-0.6338450190285841,-0.6021751852970041,-0.8871697414404196,AFB
50402.169,-0.8007870269111057,-0.7497386355015183,-0.3242558344968097,AFB
50404.178,-0.9872042760792061,-0.7583070006547804,-0.3180555094206735,AFB
50406.087,-0.9702746521194924,-0.8991505090408805,-0.6684675293467991,AFB
50408.098,-0.7274375932437196,-0.8108699648603095,-0.8748456917689208,AFB
50415.97,-0.033820729267539484,-0.5837782934037727,-1.6975968418468301,AFB
50418.091,0.02249594041063027,-0.5688228462428593,-2.038953576471336,AFB
50420.126,-0.15261671615708416,-0.6995482824702024,-1.7003091990546104,AFB
50421.985,-0.14635818220543048,-0.9433916297652355,-1.1633019602434043,AFB
50451.952,-0.5020690926970984,-1.7815658314224154,1.5605528072141652,AFB
50456.995,-0.2285309278713986,-1.3681177480419096,0.9790943650879667,AFB
50459.012,-0.29438221870717474,-1.307688103287156,0.20637373303515377,AFB
50463.079,-0.3065115998432735,-1.0794400313508195,0.08323960216736366,AFB
50466.816,0.07654809647011566,-1.152474579842816,0.47708669555972616,AFB
50467.687,0.0747891177788021,-1.0427573081824149,0.48541609178421374,AFB
50505.867,0.5875964146042708,-0.2649838055578242,-0.05553654990818642,AFB
50508.069,0.5617123664790321,-0.33050484995643137,0.009171358439773963,AFB
50514.68,0.15325753851677423,0.18882381119455707,-0.7942186095555451,AFB
50516.868,-0.34612160173062034,0.30753005563092706,-0.9805241317571325,AFB
