series_name,corr_method,lag_days,r,n_pairs
nudot,pearson,0.0,0.9999999999999998,10826
nudot,pearson,10.0,0.9978841501571415,10816
nudot,pearson,20.0,0.9916266059283849,10806
nudot,pearson,30.0,0.9815193354469983,10796
nudot,pearson,40.0,0.9680494207183644,10786
nudot,pearson,50.0,0.9518687977261389,10776
nudot,pearson,60.0,0.9337501114004386,10766
nudot,pearson,70.0,0.9145320982186412,10756
nudot,pearson,80.0,0.8950598079441641,10746
nudot,pearson,90.0,0.8761258546689676,10736
nudot,pearson,100.0,0.8584185617904619,10726
nudot,pearson,110.0,0.8424815761094658,10716
nudot,pearson,120.0,0.8286877438240798,10706
nudot,pearson,130.0,0.8172282290081869,10696
nudot,pearson,140.0,0.8081163128737027,10686
nudot,pearson,150.0,0.801204147483654,10676
nudot,pearson,160.0,0.7962099296071825,10666
nudot,pearson,170.0,0.7927524470536911,10656
nudot,pearson,180.0,0.790389688487384,10646
nudot,pearson,190.0,0.788658190674583,10636
nudot,pearson,200.0,0.7871100320674683,10626
nudot,pearson,210.0,0.7853448601619225,10616
nudot,pearson,220.0,0.7830350149744941,10606
nudot,pearson,230.0,0.7799425947170388,10596
nudot,pearson,240.0,0.7759280944202374,10586
nudot,pearson,250.0,0.7709509368128681,10576
nudot,pearson,260.0,0.7650627482514989,10566
nudot,pearson,270.0,0.7583946008576583,10556
nudot,pearson,280.0,0.7511396728944498,10546
nudot,pearson,290.0,0.7435329133365601,10536
nudot,pearson,300.0,0.7358293608624558,10526
nudot,pearson,310.0,0.7282827638158674,10516
nudot,pearson,320.0,0.721126057664738,10506
nudot,pearson,330.0,0.7145550601837246,10496
nudot,pearson,340.0,0.708716438559178,10486
nudot,pearson,350.0,0.703700606641184,10476
nudot,pearson,360.0,0.6995397612598019,10466
nudot,pearson,370.0,0.6962108044362342,10456
nudot,pearson,380.0,0.6936424610823949,10446
nudot,pearson,390.0,0.6917255261868598,10436
nudot,pearson,400.0,0.6903249061289752,10426
nudot,pearson,410.0,0.6892920092044732,10416
nudot,pearson,420.0,0.6884761388925832,10406
nudot,pearson,430.0,0.6877338640870578,10396
nudot,pearson,440.0,0.6869358373553601,10386
nudot,pearson,450.0,0.6859710946208204,10376
nudot,pearson,460.0,0.684749350641783,10366
nudot,pearson,470.0,0.6832020722940986,10356
nudot,pearson,480.0,0.6812830989258831,10346
nudot,pearson,490.0,0.6789693092280519,10336
