lag_days,r,err,p_local,n_pairs,corr_method,shuffle_method,pc_column,p_global,p_zero_local,p_zero_global,segment_id,segment_label,segment_start,segment_end,segment_center,n_spin_points,n_pc_points
-200.0,-0.12224744061182208,0.032093599986367204,0.002997002997002997,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-180.0,-0.03360359148862181,0.031813226658255186,0.2837162837162837,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-160.0,0.06845211974911324,0.03131702795646679,0.027972027972027972,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-140.0,0.15090181297285543,0.03192955894797703,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-120.0,0.18819760164979552,0.03214700332585748,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-100.0,0.18285642218639722,0.03296045116834471,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-80.0,0.11154403366091596,0.032347892432667724,0.002997002997002997,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-60.0,0.14465336979088128,0.031591581185920196,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-40.0,0.23201650990720765,0.03164984380581318,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-20.0,0.23158845294710168,0.031866633245306836,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
0.0,0.23464194413938028,0.03196898786563764,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
20.0,0.12749331531928,0.032140162350763196,0.000999000999000999,980,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
40.0,-0.07213068836219846,0.033308718296157905,0.027972027972027972,960,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
