segment_id,segment_label,segment_start,segment_end,segment_center,corr_method,shuffle_method,pc_column,r_zero_lag,n_pairs_zero_lag,p_zero_local,p_zero_global,p_global_curve,n_spin_points,n_pc_points
1,seg01_49995.2_50495.2,49995.243,50495.243,50245.243,pearson,permute,PC2,-0.6631920021738695,500,0.000999000999000999,0.006993006993006993,0.002997002997002997,500,83
1,seg01_49995.2_50495.2,49995.243,50495.243,50245.243,pearson,circular,PC2,-0.6631920021738695,500,0.04595404595404595,0.3886113886113886,0.3096903096903097,500,83
1,seg01_49995.2_50495.2,49995.243,50495.243,50245.243,spearman,permute,PC2,-0.6381451765807062,500,0.001998001998001998,0.01898101898101898,0.002997002997002997,500,83
1,seg01_49995.2_50495.2,49995.243,50495.243,50245.243,spearman,circular,PC2,-0.6381451765807062,500,0.1008991008991009,0.6213786213786214,0.42657342657342656,500,83
2,seg02_50495.2_50995.2,50495.243,50995.243,50745.243,pearson,permute,PC2,-0.7287836742804708,500,0.000999000999000999,0.000999000999000999,0.000999000999000999,500,134
2,seg02_50495.2_50995.2,50495.243,50995.243,50745.243,pearson,circular,PC2,-0.7287836742804708,500,0.008991008991008992,0.25674325674325676,0.25674325674325676,500,134
2,seg02_50495.2_50995.2,50495.243,50995.243,50745.243,spearman,permute,PC2,-0.7449929319717278,500,0.000999000999000999,0.000999000999000999,0.000999000999000999,500,134
2,seg02_50495.2_50995.2,50495.243,50995.243,50745.243,spearman,circular,PC2,-0.7449929319717278,500,0.029970029970029972,0.3006993006993007,0.3006993006993007,500,134
3,seg03_50995.2_51495.2,50995.243,51495.243,51245.243,pearson,permute,PC2,-0.10967697658301145,500,0.5444555444555444,1.0,0.03196803196803197,500,159
3,seg03_50995.2_51495.2,50995.243,51495.243,51245.243,pearson,circular,PC2,-0.10967697658301145,500,0.6983016983016983,1.0,0.3436563436563437,500,159
3,seg03_50995.2_51495.2,50995.243,51495.243,51245.243,spearman,permute,PC2,-0.08142973371893487,500,0.6413586413586414,1.0,0.6213786213786214,500,159
3,seg03_50995.2_51495.2,50995.243,51495.243,51245.243,spearman,circular,PC2,-0.08142973371893487,500,0.8311688311688312,1.0,0.9500499500499501,500,159
4,seg04_51495.2_51995.2,51495.243,51995.243,51745.243,pearson,permute,PC2,-0.35565544599098087,500,0.16583416583416583,0.7142857142857143,0.4025974025974026,500,133
4,seg04_51495.2_51995.2,51495.243,51995.243,51745.243,pearson,circular,PC2,-0.35565544599098087,500,0.33466533466533466,0.948051948051948,0.8891108891108891,500,133
4,seg04_51495.2_51995.2,51495.243,51995.243,51745.243,spearman,permute,PC2,-0.33055409021636084,500,0.22377622377622378,0.8371628371628371,0.5504495504495505,500,133
