filename                         MJD Frequency   bandw backend   length           name       DM       RM
00001.FTS.fixedfreq.debase 49994.067 1404.0000   -32.0 AFB       1618.6      0631+1036  125.350    0.000
00002.FTS.fixedfreq.debase 49995.243 1404.0000   -32.0 AFB       1079.1      0631+1036  125.350    0.000
00003.FTS.fixedfreq.debase 50006.129 1418.0000   -32.0 AFB       1618.6      0631+1036  125.350    0.000
00004.FTS.fixedfreq.debase 50006.960 1418.0000   -32.0 AFB       1618.6      0631+1036  125.350    0.000
00005.FTS.fixedfreq.debase 50007.038 1418.0000   -32.0 AFB       1618.6      0631+1036  125.350    0.000
00006.FTS.fixedfreq.debase 50022.075  606.0000    -8.0 AFB       1618.6      0631+1036  125.350    0.000
00007.FTS.fixedfreq.debase 50023.114  606.0000    -8.0 AFB       1618.6      0631+1036  125.350    0.000
00008.FTS.fixedfreq.debase 50023.363  606.0000    -8.0 AFB       1618.6      0631+1036  125.350    0.000
00009.FTS.fixedfreq.debase 50024.145  606.0000    -8.0 AFB       1618.6      0631+1036  125.350    0.000
00010.FTS.fixedfreq.debase 50025.232  606.0000    -8.0 AFB       1618.6      0631+1036  125.350    0.000
00011.FTS.fixedfreq.debase 50029.190 1404.0000   -32.0 AFB       1618.6      0631+1036  125.350    0.000
00012.FTS.fixedfreq.debase 50029.994 1404.0000   -32.0 AFB       1258.9      0631+1036  125.350    0.000
00013.FTS.fixedfreq.debase 50030.945 1404.0000   -32.0 AFB       1258.9      0631+1036  125.350    0.000
00014.FTS.fixedfreq.debase 50032.070 1404.0000   -32.0 AFB       1618.6      0631+1036  125.350    0.000
00015.FTS.fixedfreq.debase 50032.875 1404.0000   -32.0 AFB        719.4      0631+1036  125.350    0.000
00016.FTS.fixedfreq.debase 50033.966 1404.0000   -32.0 AFB       1258.9      0631+1036  125.350    0.000
00017.FTS.fixedfreq.debase 50034.328 1404.0000   -32.0 AFB       1618.6      0631+1036  125.350    0.000
00018.FTS.fixedfreq.debase 50035.982 1404.0000   -32.0 AFB       1438.8      0631+1036  125.350    0.000
00019.FTS.fixedfreq.debase 50036.375 1404.0000   -32.0 AFB       1618.6      0631+1036  125.350    0.000
00020.FTS.fixedfreq.debase 50058.155 1420.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
