type,step_number,target_gap_days,search_window_start,search_window_end,expected_peak_mjd,chosen_peak_mjd,chosen_peak_value,found_gap_days,gap_residual_days,source,nearest_observation_mjd,nearest_observation_score
anchor,0,,,,50014.067,50014.067,3.4600832384868085,,0.0,anchor_peak,,
forward_step,1,664.0,50553.067,50803.067,50678.067,,,,,no_match,,
forward_step,2,688.0,51241.067,51491.067,51366.067,,,,,no_match,,
forward_step,3,712.0,51953.067,52203.067,52078.067,52099.067,3.1325630463754446,2085.0,21.0,target_peak,52095.616,3.1518993237253388
forward_step,4,736.0,52689.067,52939.067,52814.067,,,,,no_match,,
forward_step,5,760.0,53449.067,53699.067,53574.067,53574.067,3.1171450619237406,1475.0,0.0,target_peak,53581.641,3.0120007456971902
forward_step,6,784.0,54233.067,54483.067,54358.067,,,,,no_match,,
forward_step,7,808.0,55041.067,55291.067,55166.067,55239.067,2.439458515311531,1665.0,73.0,target_peak,55238.901,2.2827425049533803
forward_step,8,832.0,55873.067,56123.067,55998.067,,,,,no_match,,
forward_step,9,856.0,56729.067,56979.067,56854.067,56729.067,2.372983629619303,1490.0,-125.0,target_peak,56728.91,2.33614157776844
forward_step,10,880.0,57609.067,57859.067,57734.067,57619.067,2.795166956641073,890.0,-115.0,target_peak,57619.478,2.82563757656104
forward_step,11,904.0,58513.067,58763.067,58638.067,,,,,no_match,,
forward_step,12,928.0,59441.067,59691.067,59566.067,59574.067,3.659871591547022,1955.0,8.0,target_peak,59574.056,3.697095577511611
forward_step,13,952.0,60393.067,60643.067,60518.067,,,,,no_match,,
