first_gap,gap_step,window_total,n_target_peaks,n_matched,frac_matched,total_abs_centre_residual,rms_centre_residual,mean_abs_centre_residual,anchor_mjd
664.0,24.0,250.0,7,6,0.8571428571428571,342.0,76.03069555558903,57.0,50014.067
666.0,23.0,250.0,7,6,0.8571428571428571,345.0,69.24954873499176,57.5,50014.067
667.0,23.0,250.0,7,6,0.8571428571428571,347.0,71.27294952037086,57.833333333333336,50014.067
668.0,22.0,200.0,7,6,0.8571428571428571,348.0,68.8040696470783,58.0,50014.067
668.0,22.0,250.0,7,6,0.8571428571428571,348.0,68.8040696470783,58.0,50014.067
668.0,23.0,250.0,7,6,0.8571428571428571,349.0,74.16310852888158,58.166666666666664,50014.067
669.0,22.0,200.0,7,6,0.8571428571428571,350.0,68.55411487771298,58.333333333333336,50014.067
669.0,22.0,250.0,7,6,0.8571428571428571,350.0,68.55411487771298,58.333333333333336,50014.067
663.0,24.0,250.0,7,6,0.8571428571428571,350.0,72.89490151352608,58.333333333333336,50014.067
670.0,22.0,250.0,7,6,0.8571428571428571,352.0,69.29165413910489,58.666666666666664,50014.067
665.0,23.0,200.0,7,6,0.8571428571428571,353.0,68.17013031135167,58.833333333333336,50014.067
665.0,23.0,250.0,7,6,0.8571428571428571,353.0,68.17013031135167,58.833333333333336,50014.067
667.0,22.0,250.0,7,6,0.8571428571428571,356.0,70.03094554076314,59.333333333333336,50014.067
662.0,24.0,250.0,7,6,0.8571428571428571,358.0,70.58800653557704,59.666666666666664,50014.067
664.0,23.0,200.0,7,6,0.8571428571428571,361.0,68.07961026132078,60.166666666666664,50014.067
664.0,23.0,250.0,7,6,0.8571428571428571,361.0,68.07961026132078,60.166666666666664,50014.067
659.0,25.0,250.0,7,6,0.8571428571428571,363.0,75.76608740063064,60.5,50014.067
666.0,22.0,250.0,7,6,0.8571428571428571,364.0,72.18494764607554,60.666666666666664,50014.067
661.0,24.0,200.0,7,6,0.8571428571428571,366.0,69.19296688729763,61.0,50014.067
661.0,24.0,250.0,7,6,0.8571428571428571,366.0,69.19296688729763,61.0,50014.067
663.0,23.0,250.0,7,6,0.8571428571428571,369.0,68.98188167917718,61.5,50014.067
658.0,25.0,250.0,7,6,0.8571428571428571,371.0,73.23136850648999,61.833333333333336,50014.067
660.0,24.0,250.0,7,6,0.8571428571428571,374.0,68.76530132753486,62.333333333333336,50014.067
660.0,25.0,250.0,7,6,0.8571428571428571,375.0,79.08328942745533,62.5,50014.067
662.0,23.0,250.0,7,6,0.8571428571428571,377.0,70.83901937962345,62.833333333333336,50014.067
657.0,25.0,250.0,7,6,0.8571428571428571,379.0,71.56232714680726,63.166666666666664,50014.067
659.0,24.0,250.0,7,6,0.8571428571428571,382.0,69.32291588404708,63.666666666666664,50014.067
661.0,23.0,250.0,7,6,0.8571428571428571,385.0,73.57875599202077,64.16666666666667,50014.067
656.0,25.0,250.0,7,6,0.8571428571428571,387.0,70.8201948599409,64.5,50014.067
658.0,24.0,250.0,7,6,0.8571428571428571,390.0,70.8425484201879,65.0,50014.067
653.0,26.0,250.0,7,6,0.8571428571428571,392.0,75.15095918660431,65.33333333333333,50014.067
654.0,26.0,250.0,7,6,0.8571428571428571,392.0,77.0454411370329,65.33333333333333,50014.067
660.0,23.0,250.0,7,6,0.8571428571428571,393.0,77.10706841788242,65.5,50014.067
655.0,25.0,250.0,7,6,0.8571428571428571,395.0,71.03402940375362,65.83333333333333,50014.067
657.0,24.0,250.0,7,6,0.8571428571428571,398.0,73.26436150453144,66.33333333333333,50014.067
652.0,26.0,250.0,7,6,0.8571428571428571,400.0,74.13051553397786,66.66666666666667,50014.067
654.0,25.0,250.0,7,6,0.8571428571428571,403.0,72.19533687619074,67.16666666666667,50014.067
651.0,26.0,250.0,7,6,0.8571428571428571,408.0,74.02026749478821,68.0,50014.067
655.0,26.0,250.0,7,6,0.8571428571428571,408.0,79.75169799655261,68.0,50014.067
656.0,26.0,250.0,7,6,0.8571428571428571,424.0,83.19054433447751,70.66666666666667,50014.067
650.0,27.0,250.0,7,6,0.8571428571428571,441.0,81.86676167204043,73.5,50014.067
651.0,27.0,250.0,7,6,0.8571428571428571,457.0,84.69454921461397,76.16666666666667,50014.067
670.0,20.0,250.0,7,5,0.7142857142857143,180.0,54.405882034941776,36.0,50014.067
669.0,20.0,250.0,7,5,0.7142857142857143,196.0,57.155927076725824,39.2,50014.067
666.0,21.0,250.0,7,5,0.7142857142857143,201.0,58.45511098270193,40.2,50014.067
667.0,21.0,250.0,7,5,0.7142857142857143,205.0,56.43934797638966,41.0,50014.067
668.0,21.0,250.0,7,5,0.7142857142857143,209.0,55.31184321643964,41.8,50014.067
669.0,21.0,250.0,7,5,0.7142857142857143,213.0,55.12712580935088,42.6,50014.067
670.0,21.0,200.0,7,5,0.7142857142857143,217.0,55.89454356196139,43.4,50014.067
670.0,21.0,250.0,7,5,0.7142857142857143,217.0,55.89454356196139,43.4,50014.067
669.0,23.0,250.0,7,5,0.7142857142857143,217.0,60.63497340644259,43.4,50014.067
665.0,24.0,250.0,7,5,0.7142857142857143,218.0,63.79028139144708,43.6,50014.067
667.0,23.0,200.0,7,5,0.7142857142857143,231.0,58.34895029047223,46.2,50014.067
663.0,22.0,250.0,7,5,0.7142857142857143,236.0,60.94259594077036,47.2,50014.067
666.0,23.0,200.0,7,5,0.7142857142857143,238.0,58.862551762559534,47.6,50014.067
664.0,22.0,250.0,7,5,0.7142857142857143,240.0,59.64562012419688,48.0,50014.067
665.0,22.0,250.0,7,5,0.7142857142857143,244.0,59.218240433163835,48.8,50014.067
670.0,22.0,200.0,7,5,0.7142857142857143,245.0,58.92198231560103,49.0,50014.067
662.0,24.0,200.0,7,5,0.7142857142857143,251.0,60.74043134519214,50.2,50014.067
667.0,22.0,200.0,7,5,0.7142857142857143,252.0,61.00819617067857,50.4,50014.067
658.0,25.0,200.0,7,5,0.7142857142857143,264.0,64.38633395372034,52.8,50014.067
663.0,23.0,200.0,7,5,0.7142857142857143,268.0,60.58052492344384,53.6,50014.067
662.0,23.0,200.0,7,5,0.7142857142857143,269.0,60.73713855624086,53.8,50014.067
660.0,24.0,200.0,7,5,0.7142857142857143,273.0,60.28432632119231,54.6,50014.067
659.0,24.0,200.0,7,5,0.7142857142857143,274.0,58.60034129593445,54.8,50014.067
658.0,24.0,200.0,7,5,0.7142857142857143,275.0,58.11540243343412,55.0,50014.067
657.0,24.0,200.0,7,5,0.7142857142857143,276.0,58.85915391848578,55.2,50014.067
656.0,24.0,250.0,7,5,0.7142857142857143,277.0,60.78651166171653,55.4,50014.067
