window_index,window_start_mjd,window_end_mjd,window_mid_mjd,n_points,rank,period_days,power,index,left_period_days,right_period_days,fwhm_days,period_err_low_days,period_err_high_days,width_height,window_days,step_days,min_points,ransac_inlier,ransac_fit
0,49994.067,56994.067,53494.067,1289,1,758.0626868219853,0.2352007925321625,86,722.454390320898,871.1141432482697,148.65975292737164,35.60829650108724,113.0514564262844,0.1177520604804466,7000.0,700.0,500,True,759.3218957713351
1,50694.067,57694.067,54194.067,1305,1,797.0334006150778,0.3106105935564456,79,743.4416746115703,862.4272477349604,118.98557312339005,53.59172600350746,65.3938471198826,0.15587584192939416,7000.0,700.0,500,True,782.9571559923553
2,51394.067,58394.067,54894.067,1305,1,804.5180023495822,0.37323287188843435,78,753.9289736408431,855.3832003264664,101.45422668562333,50.58902870873908,50.86519797688425,0.1881894210858549,7000.0,700.0,500,True,806.5924162133755
3,52094.067,59094.067,55594.067,1402,1,797.9823982400336,0.35614337228195014,79,746.2838417054551,855.8470941791571,109.56325247370205,51.69855653457853,57.86469593912352,0.1787200606430589,7000.0,700.0,500,True,830.2276764343957
4,52794.067,59794.067,56294.067,1397,1,863.0063545586158,0.23137410345384374,69,698.4566863755504,950.5951253650179,252.13843898946755,164.54966818306548,87.58877080640207,0.11633865559990414,7000.0,700.0,500,True,853.8629366554159
5,53494.067,60494.067,56994.067,1437,1,893.1197729975972,0.2897418834428912,65,838.9416790548422,965.8170013631884,126.8753223083462,54.17809394275503,72.69722836559117,0.14641222042361862,7000.0,700.0,500,True,877.498196876436
6,54194.067,60819.668,57506.8675,1397,1,896.8883571448717,0.32124470342045225,61,843.7083672258548,966.3109790375363,122.60261181168153,53.179989919016975,69.42262189266455,0.16207866439843252,7000.0,700.0,500,True,894.8127301035349
7,54894.067,60819.668,57856.8675,1324,1,902.693529237083,0.3322434595465392,54,844.0497555565132,973.7587990637008,129.70904350718763,58.64377368056978,71.06526982661785,0.16678599823146792,7000.0,700.0,500,True,906.630360214045
8,55594.067,60819.668,58206.8675,1214,1,919.7120609921174,0.41904740090350334,46,856.4368951388328,994.3213731944996,137.88447805566682,63.275165853284534,74.60931220238228,0.2112030297524024,7000.0,700.0,500,True,918.4479903245551
9,56294.067,60819.668,58556.8675,968,1,930.5507910222206,0.37819215457854644,39,863.4548410667036,1018.082201048965,154.6273599822614,67.09594995551697,87.53141002674442,0.1891912759597435,7000.0,700.0,500,True,930.2656204350652
10,56994.067,60819.668,58906.8675,717,1,945.1212951866668,0.29380895429510234,32,857.8574476767827,1071.1911647168433,213.3337170400606,87.26384750988404,126.06986953017656,0.16333395379392363,7000.0,700.0,500,True,942.0832505455753
11,57694.067,60819.668,59256.8675,617,1,947.9124610563216,0.25808315857796954,26,791.2473850042318,1168.8985277560391,377.65114275180736,156.66507605208983,220.98606669971753,0.18583520204035237,7000.0,700.0,500,True,953.9008806560854
