min_points,window_days,step_days,n_windows_rank1,n_fit_points,n_inliers,inlier_fraction,rmse_inlier,wrmse_inlier,r2_inlier,slope_days_per_day,intercept_days
500,7000.0,700.0,12,12,12,1.0,11.683321828020143,11.956402652689144,0.965539061586407,0.03376465745860027,871.3834258518481
500,6500.0,700.0,12,12,12,1.0,11.692338606258653,12.035900172741313,0.9692278945731667,0.03386676507717781,864.5548278117394
500,6000.0,700.0,12,12,12,1.0,14.481649474837033,14.721534882152739,0.9557242600565692,0.032988331919756336,859.3500288571796
500,6500.0,500.0,17,17,16,0.9411764705882353,13.826474325619213,14.08825806204707,0.9564177969026799,0.03457897587143421,869.30495661278
500,7000.0,500.0,17,17,16,0.9411764705882353,14.908099247067206,14.647991615487284,0.9451660036378555,0.034999489232524016,873.4239451364053
500,6000.0,500.0,17,17,16,0.9411764705882353,15.139514517831074,15.270666569332674,0.9502983982668929,0.03356062802808626,863.4183154920817
500,6500.0,600.0,14,14,13,0.9285714285714286,14.71503563974102,14.968354796636097,0.950523217894952,0.03262248085202401,865.5315153484721
500,6000.0,600.0,14,14,13,0.9285714285714286,14.837583705592973,15.074795591044415,0.952691041209841,0.03202907836897051,862.3251927555053
500,7000.0,600.0,14,14,13,0.9285714285714286,15.713293413203997,15.418600067531212,0.9421555462937207,0.03388665578390246,868.7902365251906
350,7000.0,700.0,13,13,12,0.9230769230769231,11.683321828020143,11.956402652689144,0.965539061586407,0.03376465745860027,878.6399708452903
400,7000.0,700.0,13,13,12,0.9230769230769231,11.683321828020143,11.956402652689144,0.965539061586407,0.03376465745860027,878.6399708452903
450,7000.0,700.0,13,13,12,0.9230769230769231,11.683321828020143,11.956402652689144,0.965539061586407,0.03376465745860027,878.6399708452903
350,6500.0,700.0,13,13,12,0.9230769230769231,11.69233860625866,12.03590017274132,0.9692278945731666,0.03386676507717781,872.1725929295974
400,6500.0,700.0,13,13,12,0.9230769230769231,11.69233860625866,12.03590017274132,0.9692278945731666,0.03386676507717781,872.1725929295974
450,6500.0,700.0,13,13,12,0.9230769230769231,11.69233860625866,12.03590017274132,0.9692278945731666,0.03386676507717781,872.1725929295974
350,6000.0,700.0,13,13,12,0.9230769230769231,14.481649474837042,14.721534882152751,0.9557242600565691,0.032988331919756336,867.1402664728863
400,6000.0,700.0,13,13,12,0.9230769230769231,14.481649474837042,14.721534882152751,0.9557242600565691,0.032988331919756336,867.1402664728863
450,6000.0,700.0,13,13,12,0.9230769230769231,14.481649474837042,14.721534882152751,0.9557242600565691,0.032988331919756336,867.1402664728863
500,7000.0,400.0,21,21,19,0.9047619047619048,15.340869155940108,15.345752024765089,0.9414891579962571,0.03439519213086285,874.603207860628
500,6500.0,400.0,21,21,19,0.9047619047619048,15.99704179744882,16.301166296049832,0.9394772384766883,0.03327890233968595,871.5780930884462
400,6500.0,500.0,18,18,16,0.8888888888888888,13.82647432561922,14.08825806204708,0.9564177969026799,0.03457897587143421,874.8099300800268
450,6500.0,500.0,18,18,16,0.8888888888888888,13.82647432561922,14.08825806204708,0.9564177969026799,0.03457897587143421,874.8099300800268
400,7000.0,500.0,18,18,16,0.8888888888888888,14.908099247067202,14.64799161548728,0.9451660036378556,0.034999489232524016,878.7484888048568
450,7000.0,500.0,18,18,16,0.8888888888888888,14.908099247067202,14.64799161548728,0.9451660036378556,0.034999489232524016,878.7484888048568
400,6000.0,500.0,18,18,16,0.8888888888888888,15.139514517831088,15.27066656933269,0.9502983982668928,0.03356062802808626,869.0257924777783
450,6000.0,500.0,18,18,16,0.8888888888888888,15.139514517831088,15.27066656933269,0.9502983982668928,0.03356062802808626,869.0257924777783
400,6500.0,600.0,15,15,13,0.8666666666666667,14.715035639741023,14.968354796636106,0.950523217894952,0.03262248085202401,871.8078327335472
450,6500.0,600.0,15,15,13,0.8666666666666667,14.715035639741023,14.968354796636106,0.950523217894952,0.03262248085202401,871.8078327335472
400,6000.0,600.0,15,15,13,0.8666666666666667,14.837583705592966,15.074795591044404,0.9526910412098412,0.03202907836897051,868.7943351791549
450,6000.0,600.0,15,15,13,0.8666666666666667,14.837583705592966,15.074795591044404,0.9526910412098412,0.03202907836897051,868.7943351791549
400,7000.0,600.0,15,15,13,0.8666666666666667,15.713293413204006,15.418600067531218,0.9421555462937206,0.03388665578390246,875.0172489568183
450,7000.0,600.0,15,15,13,0.8666666666666667,15.713293413204006,15.418600067531218,0.9421555462937206,0.03388665578390246,875.0172489568183
400,7000.0,400.0,22,22,19,0.8636363636363636,15.340869155940117,15.345752024765094,0.941489157996257,0.03439519213086285,878.7967415279943
450,7000.0,400.0,22,22,19,0.8636363636363636,15.340869155940117,15.345752024765094,0.941489157996257,0.03439519213086285,878.7967415279943
400,6500.0,400.0,22,22,19,0.8636363636363636,15.99704179744883,16.301166296049843,0.9394772384766883,0.03327890233968595,875.8273339005108
