min_points,window_days,step_days,n_windows_rank1,n_fit_points,n_inliers,inlier_fraction,rmse_inlier,wrmse_inlier,r2_inlier,slope_days_per_day,intercept_days
450,2600.0,2800.0,2,2,2,1.0,0.0,0.0,1.0,-0.01876815610314867,830.5135354575542
450,2700.0,2800.0,2,2,2,1.0,0.0,0.0,1.0,-0.018846586473799186,830.1487537700672
450,2800.0,2700.0,2,2,2,1.0,0.0,0.0,1.0,-0.023239492080356673,824.4796669548515
500,2800.0,2700.0,2,2,2,1.0,0.0,0.0,1.0,-0.023239492080356673,824.4796669548515
500,2900.0,2700.0,2,2,2,1.0,0.0,0.0,1.0,-0.023431277512275136,824.1492281890472
500,3000.0,2700.0,2,2,2,1.0,0.0,0.0,1.0,-0.03077835311841409,832.9779907697157
500,3100.0,3000.0,2,2,2,1.0,0.0,0.0,1.0,0.0001670814761943499,838.9548502064098
500,3100.0,3100.0,2,2,2,1.0,0.0,0.0,1.0,0.02236754148328857,846.3889681140524
400,2500.0,2800.0,2,2,2,1.0,8.038873388460929e-14,6.597573383612256e-14,1.0,-0.018437161407539236,830.5255032048694
450,2500.0,2800.0,2,2,2,1.0,8.038873388460929e-14,6.597573383612256e-14,1.0,-0.018437161407539236,830.5255032048694
450,2800.0,3200.0,2,2,2,1.0,8.038873388460929e-14,7.502617204092665e-14,1.0,0.005532082613480149,846.7607893996303
450,2800.0,2800.0,2,2,2,1.0,8.038873388460929e-14,9.212023781588188e-14,1.0,-0.026451605548899883,839.6127879291885
500,3100.0,2700.0,2,2,2,1.0,8.038873388460929e-14,9.429764256262291e-14,1.0,-0.03719224305902039,840.2669448666056
400,3000.0,2700.0,3,3,3,1.0,0.7597420175531038,0.8757857067961601,0.9999421232244274,-0.030089228381103714,899.8213610238253
450,3000.0,2700.0,3,3,3,1.0,0.7597420175531038,0.8757857067961601,0.9999421232244274,-0.030089228381103714,899.8213610238253
400,2800.0,2800.0,3,3,3,1.0,3.662687290342742,4.203122969168125,0.9987072258287851,-0.029714689904588892,908.8263286933438
400,2900.0,2800.0,3,3,3,1.0,4.9538867243275835,5.600837784328089,0.997414489675319,-0.02854636258043499,911.8144557672717
450,2900.0,2800.0,3,3,3,1.0,4.9538867243275835,5.600837784328089,0.997414489675319,-0.02854636258043499,911.8144557672717
50,3000.0,3500.0,3,3,3,1.0,6.801037547757906,7.571691223241227,0.9981520429133676,-0.05531019209696628,835.1133694235388
100,3000.0,3500.0,3,3,3,1.0,6.801037547757906,7.571691223241227,0.9981520429133676,-0.05531019209696628,835.1133694235388
150,3000.0,3500.0,3,3,3,1.0,6.801037547757906,7.571691223241227,0.9981520429133676,-0.05531019209696628,835.1133694235388
200,3000.0,3500.0,3,3,3,1.0,6.801037547757906,7.571691223241227,0.9981520429133676,-0.05531019209696628,835.1133694235388
250,3000.0,3500.0,3,3,3,1.0,6.801037547757906,7.571691223241227,0.9981520429133676,-0.05531019209696628,835.1133694235388
300,3000.0,3500.0,3,3,3,1.0,6.801037547757906,7.571691223241227,0.9981520429133676,-0.05531019209696628,835.1133694235388
350,3000.0,3500.0,3,3,3,1.0,6.801037547757906,7.571691223241227,0.9981520429133676,-0.05531019209696628,835.1133694235388
400,3000.0,3500.0,3,3,3,1.0,6.801037547757906,7.571691223241227,0.9981520429133676,-0.05531019209696628,835.1133694235388
450,3000.0,3500.0,3,3,3,1.0,6.801037547757906,7.571691223241227,0.9981520429133676,-0.05531019209696628,835.1133694235388
50,2700.0,3500.0,3,3,3,1.0,8.796439543255746,9.647352021191136,0.9968118387068344,-0.05442782235155459,834.3550851855872
100,2700.0,3500.0,3,3,3,1.0,8.796439543255746,9.647352021191136,0.9968118387068344,-0.05442782235155459,834.3550851855872
150,2700.0,3500.0,3,3,3,1.0,8.796439543255746,9.647352021191136,0.9968118387068344,-0.05442782235155459,834.3550851855872
200,2700.0,3500.0,3,3,3,1.0,8.796439543255746,9.647352021191136,0.9968118387068344,-0.05442782235155459,834.3550851855872
250,2700.0,3500.0,3,3,3,1.0,8.796439543255746,9.647352021191136,0.9968118387068344,-0.05442782235155459,834.3550851855872
300,2700.0,3500.0,3,3,3,1.0,8.796439543255746,9.647352021191136,0.9968118387068344,-0.05442782235155459,834.3550851855872
350,2700.0,3500.0,3,3,3,1.0,8.796439543255746,9.647352021191136,0.9968118387068344,-0.05442782235155459,834.3550851855872
400,2700.0,3500.0,3,3,3,1.0,8.796439543255746,9.647352021191136,0.9968118387068344,-0.05442782235155459,834.3550851855872
450,3100.0,2700.0,3,3,3,1.0,8.898542630997309,10.200720592372297,0.9914038437369571,-0.028947328965456508,902.540028804532
400,2900.0,2700.0,3,3,3,1.0,8.94204830193696,10.357382349413712,0.9927560641038259,-0.03137446812086063,896.3072352967605
450,2900.0,2700.0,3,3,3,1.0,8.94204830193696,10.357382349413712,0.9927560641038259,-0.03137446812086063,896.3072352967605
400,2800.0,2700.0,3,3,3,1.0,10.135199565564111,11.801549720666351,0.991195265728006,-0.032059568358797655,898.7375813771191
350,2700.0,2800.0,3,3,3,1.0,10.46026777342506,12.029646558533845,0.988348640569171,-0.02797686351673478,897.1233310024987
400,2700.0,2800.0,3,3,3,1.0,10.46026777342506,12.029646558533845,0.988348640569171,-0.02797686351673478,897.1233310024987
50,2800.0,3500.0,3,3,3,1.0,12.095882963818038,13.429087616023326,0.9946490050129977,-0.057707573774882295,836.7238211414118
100,2800.0,3500.0,3,3,3,1.0,12.095882963818038,13.429087616023326,0.9946490050129977,-0.057707573774882295,836.7238211414118
150,2800.0,3500.0,3,3,3,1.0,12.095882963818038,13.429087616023326,0.9946490050129977,-0.057707573774882295,836.7238211414118
200,2800.0,3500.0,3,3,3,1.0,12.095882963818038,13.429087616023326,0.9946490050129977,-0.057707573774882295,836.7238211414118
250,2800.0,3500.0,3,3,3,1.0,12.095882963818038,13.429087616023326,0.9946490050129977,-0.057707573774882295,836.7238211414118
300,2800.0,3500.0,3,3,3,1.0,12.095882963818038,13.429087616023326,0.9946490050129977,-0.057707573774882295,836.7238211414118
350,2800.0,3500.0,3,3,3,1.0,12.095882963818038,13.429087616023326,0.9946490050129977,-0.057707573774882295,836.7238211414118
400,2800.0,3500.0,3,3,3,1.0,12.095882963818038,13.429087616023326,0.9946490050129977,-0.057707573774882295,836.7238211414118
50,2600.0,2700.0,4,4,4,1.0,13.648229034914204,16.0391113327422,0.9984380653276729,0.1143106418937795,720.4915443553153
100,2600.0,2700.0,4,4,4,1.0,13.648229034914204,16.0391113327422,0.9984380653276729,0.1143106418937795,720.4915443553153
150,2600.0,2700.0,4,4,4,1.0,13.648229034914204,16.0391113327422,0.9984380653276729,0.1143106418937795,720.4915443553153
200,2600.0,2700.0,4,4,4,1.0,13.648229034914204,16.0391113327422,0.9984380653276729,0.1143106418937795,720.4915443553153
250,2600.0,2700.0,4,4,4,1.0,13.648229034914204,16.0391113327422,0.9984380653276729,0.1143106418937795,720.4915443553153
300,2600.0,2700.0,4,4,4,1.0,13.648229034914204,16.0391113327422,0.9984380653276729,0.1143106418937795,720.4915443553153
350,2600.0,2700.0,3,3,3,1.0,15.72837017112,18.146039074890748,0.9983355150451124,0.11438669661018454,771.4521884941641
400,2600.0,2700.0,3,3,3,1.0,15.72837017112,18.146039074890748,0.9983355150451124,0.11438669661018454,771.4521884941641
50,2900.0,3500.0,3,3,3,1.0,17.33057025068161,19.227339656794534,0.9882961642111419,-0.055727541414889684,833.3222908139861
100,2900.0,3500.0,3,3,3,1.0,17.33057025068161,19.227339656794534,0.9882961642111419,-0.055727541414889684,833.3222908139861
150,2900.0,3500.0,3,3,3,1.0,17.33057025068161,19.227339656794534,0.9882961642111419,-0.055727541414889684,833.3222908139861
200,2900.0,3500.0,3,3,3,1.0,17.33057025068161,19.227339656794534,0.9882961642111419,-0.055727541414889684,833.3222908139861
250,2900.0,3500.0,3,3,3,1.0,17.33057025068161,19.227339656794534,0.9882961642111419,-0.055727541414889684,833.3222908139861
300,2900.0,3500.0,3,3,3,1.0,17.33057025068161,19.227339656794534,0.9882961642111419,-0.055727541414889684,833.3222908139861
350,2900.0,3500.0,3,3,3,1.0,17.33057025068161,19.227339656794534,0.9882961642111419,-0.055727541414889684,833.3222908139861
400,2900.0,3500.0,3,3,3,1.0,17.33057025068161,19.227339656794534,0.9882961642111419,-0.055727541414889684,833.3222908139861
450,2900.0,3500.0,3,3,3,1.0,17.33057025068161,19.227339656794534,0.9882961642111419,-0.055727541414889684,833.3222908139861
450,3100.0,2800.0,3,3,3,1.0,21.652344421212582,23.935053169160078,0.9532442488912843,-0.028979333996452028,885.9807458754348
450,3000.0,2800.0,3,3,3,1.0,23.545151763540765,25.87511363827481,0.9481276229420526,-0.029684881300856475,887.7472850628268
500,3200.0,2700.0,3,3,3,1.0,23.869446083665036,26.732514168053353,0.9449810647766421,-0.030124752357131752,874.561840032378
